Country;Population-2020;Yearly Change;Net Change;Density (P/Km2);Land Area (Km2);Migrants (net);Fert. Rate;Med. Age ;Urban Pop ;World Share
Azerbaijan;10,139,177;0,063194444;91,459;123;82,658;1,2;02.01;32;56;00.13
Sweden;10,099,265;0,04375;62,886;25;410,34;40;01.09;41;88;00.13
Honduras;9,904,607;0,085416667;158,49;89;111,89;-6,8;02.05;24;57;00.13
United Arab Emirates;9,890,402;01.23;119,873;118;83,6;40;01.04;33;86;00.13
Hungary;9,660,351;-0.25 ;-24,328;107;90,53;6;01.05;43;72;00.12
Tajikistan;9,537,645;02.32;216,627;68;139,96;-20;03.06;22;27;00.12
Belarus;9,449,323;-0.03 ;-3,088;47;202,91;8,73;01.07;40;79;00.12
Austria;9,006,398;00.57;51,296;109;82,409;65;01.05;43;57;00.12
Papua New Guinea;8,947,024;0,107638889;170,915;20;452,86;-800;03.06;22;13;00.11
Serbia;8,737,371;-0.40 ;-34,864;100;87,46;4;01.05;42;56;00.11
Israel;8,655,535;0,083333333;136,158;400;21,64;10;03.00;30;93;00.11
Switzerland;8,654,622;0,051388889;63,257;219;39,516;52;01.05;43;74;00.11
Togo;8,278,724;02.43;196,358;152;54,39;-2;04.04;19;43;00.11
Sierra Leone;7,976,983;02.10;163,768;111;72,18;-4,2;04.03;19;43;00.10
Hong Kong;7,496,981;0,056944444;60,827;7,14;1,05;29,308;01.03;45;N.A.;00.10
Laos;7,275,560;01.48;106,105;32;230,8;-14,704;02.07;24;36;00.09
Paraguay;7,132,538;01.25;87,902;18;397,3;-16,556;02.04;26;62;00.09
Bulgaria;6,948,445;-0.74 ;-51,674;64;108,56;-4,8;01.06;45;76;00.09
Libya;6,871,292;01.38;93,84;4;1,759,540;-1,999;02.03;29;78;00.09
Lebanon;6,825,445;-0.44 ;-30,268;667;10,23;-30,012;02.01;30;78;00.09
Nicaragua;6,624,554;01.21;79,052;55;120,34;-21,272;02.04;26;57;00.08
Kyrgyzstan;6,524,195;0,089583333;108,345;34;191,8;-4;03.00;26;36;00.08
El Salvador;6,486,205;00.51;32,652;313;20,72;-40,539;02.01;28;73;00.08
Turkmenistan;6,031,200;01.50;89,111;13;469,93;-5;02.08;27;53;00.08
Singapore;5,850,342;0,054861111;46,005;8,358;700;27,028;01.02;42;N.A.;00.08
Denmark;5,792,202;00.35;20,326;137;42,43;15,2;01.08;42;88;00.07
Finland;5,540,720;00.15;8,564;18;303,89;14;01.05;43;86;00.07
Congo;5,518,087;02.56;137,579;16;341,5;-4;04.05;19;70;00.07
Slovakia;5,459,642;00.05;2,629;114;48,088;1,485;01.05;41;54;00.07
Norway;5,421,241;0,054861111;42,384;15;365,268;28;01.07;40;83;00.07
Oman;5,106,626;0,128472222;131,64;16;309,5;87,4;02.09;31;87;00.07
State of Palestine;5,101,414;02.41;119,994;847;6,02;-10,563;03.07;21;80;00.07
Costa Rica;5,094,118;0,063888889;46,557;100;51,06;4,2;01.08;33;80;00.07
Liberia;5,057,681;02.44;120,307;53;96,32;-5;04.04;19;53;00.06
Ireland;4,937,786;01.13;55,291;72;68,89;23,604;01.08;38;63;00.06
Central African Republic;4,829,767;0,095833333;84,582;8;622,98;-40;04.08;18;43;00.06
New Zealand;4,822,233;0,056944444;39,17;18;263,31;14,881;01.09;38;87;00.06
Mauritania;4,649,658;0,134722222;123,962;5;1,030,700;5;04.06;20;57;00.06
Panama;4,314,767;0,084027778;68,328;58;74,34;11,2;02.05;30;68;00.06
Kuwait;4,270,571;01.51;63,488;240;17,82;39,52;02.01;37;N.A.;00.05
Croatia;4,105,267;-0.61 ;-25,037;73;55,96;-8,001;01.04;44;58;00.05
Moldova;4,033,963;-0.23 ;-9,3;123;32,85;-1,387;01.03;38;43;00.05
Georgia;3,989,167;-0.19 ;-7,598;57;69,49;-10;02.01;38;58;00.05
Eritrea;3,546,421;01.41;49,304;35;101;-39,858;04.01;19;63;00.05
Uruguay;3,473,730;00.35;11,996;20;175,02;-3;02.00;36;96;00.04
Bosnia and Herzegovina;3,280,819;-0.61 ;-20,181;64;51;-21,585;01.03;43;52;00.04
Mongolia;3,278,290;0,086805556;53,123;2;1,553,560;-852;02.09;28;67;00.04
Armenia;2,963,243;00.19;5,512;104;28,47;-4,998;01.08;35;63;00.04
Jamaica;2,961,167;00.44;12,888;273;10,83;-11,332;02.00;31;55;00.04
Qatar;2,881,053;0,092361111;48,986;248;11,61;40;01.09;32;96;00.04
Albania;2,877,797;-0.11 ;-3,12;105;27,4;-14;01.06;36;63;00.04
Puerto Rico;2,860,853;-2.47 ;-72,555;323;8,87;-97,986;01.02;44;N.A.;00.04
Lithuania;2,722,289;-1.35 ;-37,338;43;62,674;-32,78;01.07;45;71;00.03
Namibia;2,540,905;0,101388889;46,375;3;823,29;-4,806;03.04;22;55;00.03
Gambia;2,416,668;0,148611111;68,962;239;10,12;-3,087;05.03;18;59;00.03
Botswana;2,351,627;02.08;47,93;4;566,73;3;02.09;24;73;00.03
Gabon;2,225,734;02.45;53,155;9;257,67;3,26;04.00;23;87;00.03
Lesotho;2,142,249;0,055555556;16,981;71;30,36;-10,047;03.02;24;31;00.03
North Macedonia;2,083,374;00.00;-85;83;25,22;-1;01.05;39;59;00.03
Slovenia;2,078,938;00.01;284;103;20,14;2;01.06;45;55;00.03
Guinea-Bissau;1,968,001;02.45;47,079;70;28,12;-1,399;04.05;19;45;00.03
Latvia;1,886,198;-1.08 ;-20,545;30;62,2;-14,837;01.07;44;69;00.02
Bahrain;1,701,575;0,172222222;60,403;2,239;760;47,8;02.00;32;89;00.02
Equatorial Guinea;1,402,985;03.47;46,999;50;28,05;16;04.06;22;73;00.02
Trinidad and Tobago;1,399,488;00.32;4,515;273;5,13;-800;01.07;36;52;00.02
Estonia;1,326,535;00.07;887;31;42,39;3,911;01.06;42;68;00.02
Timor-Leste;1,318,445;0,108333333;25,326;89;14,87;-5,385;04.01;21;33;00.02
Mauritius;1,271,768;00.17;2,1;626;2,03;0;01.04;37;41;00.02
Cyprus;1,207,359;0,050694444;8,784;131;9,24;5;01.03;37;67;00.02
Eswatini;1,160,164;01.05;12,034;67;17,2;-8,353;03.00;21;30;00.01
Djibouti;988;01.48;14,44;43;23,18;900;02.08;27;79;00.01
Fiji;896,445;0,050694444;6,492;49;18,27;-6,202;02.08;28;59;00.01
Réunion;895,312;0,05;6,385;358;2,5;-1,256;02.03;36;100;00.01
Comoros;869,601;02.20;18,715;467;1,861;-2;04.02;20;29;00.01
Guyana;786,552;00.48;3,786;4;196,85;-6;02.05;27;27;00.01
Bhutan;771,608;01.12;8,516;20;38,117;320;02.00;28;46;00.01
Solomon Islands;686,884;02.55;17,061;25;27,99;-1,6;04.04;20;23;00.01
Macao;649,335;01.39;8,89;21,645;30;5;01.02;39;N.A.;00.01
Montenegro;628,066;00.01;79;47;13,45;-480;01.08;39;68;00.01
Luxembourg;625,978;0,0875;10,249;242;2,59;9,741;01.05;40;88;00.01
Western Sahara;597,339;02.55;14,876;2;266;5,582;02.04;28;87;00.01
Suriname;586,632;0,0625;5,26;4;156;-1;02.04;29;65;00.01
Cabo Verde;555,987;01.10;6,052;138;4,03;-1,342;02.03;28;68;00.01
Maldives;540,544;0,097916667;9,591;1,802;300;11,37;01.09;30;35;00.01
Malta;441,543;00.27;1,171;1,38;320;900;01.05;43;93;00.01
Brunei ;437,479;0,067361111;4,194;83;5,27;0;01.08;32;80;00.01
Guadeloupe;400,124;00.02;68;237;1,69;-1,44;02.02;44;N.A.;00.01
Belize;397,628;0,101388889;7,275;17;22,81;1,2;02.03;25;46;00.01
Bahamas;393,244;0,067361111;3,762;39;10,01;1;01.08;32;86;00.01
Martinique;375,265;-0.08 ;-289;354;1,06;-960;01.09;47;92;00.00
Iceland;341,243;0,045138889;2,212;3;100,25;380;01.08;37;94;00.00
Vanuatu;307,145;02.42;7,263;25;12,19;120;03.08;21;24;00.00
French Guiana;298,682;0,131944444;7,85;4;82,2;1,2;03.04;25;87;00.00
Barbados;287,375;00.12;350;668;430;-79;01.06;40;31;00.00
New Caledonia;285,498;0,067361111;2,748;16;18,28;502;02.00;34;72;00.00
French Polynesia;280,908;00.58;1,621;77;3,66;-1;02.00;34;64;00.00
